"source","sample_name","lab_dup","field_sample_date","lab_analysis_date","parameter","val_ppb","detection_note","strata","waterbody"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","b",2021-11-10,2021-11-12,"tephrosin_ppb",NA,"Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","b",2021-11-10,2021-11-12,"cft_5",0,"Not_Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Miller Creek Weir","b",2021-11-10,2021-11-12,"cft_6",0,"Not_Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","a",2021-12-02,2021-12-06,"rotenone_ppb",8.79,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","a",2021-12-02,2021-12-06,"rotenolone_ppb",7.63,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","a",2021-12-02,2021-12-06,"deguelin_ppb",6.25,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","a",2021-12-02,2021-12-06,"tephrosin_ppb",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","a",2021-12-02,2021-12-06,"cft_5",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","a",2021-12-02,2021-12-06,"cft_6",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","b",2021-12-02,2021-12-06,"rotenone_ppb",8.83,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","b",2021-12-02,2021-12-06,"rotenolone_ppb",6.98,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211206_Vogel_Sample 3 Results.csv","Vogel_Surface","b",2021-12-02,2021-12-06,"deguelin_ppb",6.26,NA,"Surface","Vogel_Lake"
